#%create_date=Thu Feb 16 00:26:49 2006 PST 1
#%lib-set-name=HuEx-1_0-st 1
#%lib-set-version=v2 1
#%genome-species=Homo sapiens 1
#%genome-version=hg17 1
#%genome-version-ucsc=hg17 1
#%genome-version-ncbi=35 1
#%genome-version-create_date=2004-05 1
#%genome-lifted_from-version-ucsc=hg16 1
#%genome-lifted_from-version-ncbi=34 1
#%genome-lifted_from-species=Homo sapiens 1
#%genome-lifted-method=liftOver 1
#%netaffx-annotation-date=2005-12-14 1
#%netaffx-annotation-csv-version=1.5 1
#%netaffx-annotation-data-type=transcript_cluster 1
#%netaffx-annotation-genome-version-ncbi=35 1
#%netaffx-annotation-genome-version-ucsc=hg17 1
#%netaffx-annotation-netaffx-build=05q4 1
#%netaffx-annotation-docgen-method=create-download-file.pl 1
#%netaffx-annotation-docgen-version=1.42 1
## probeset_id refers to the transcript cluster id, not the exon level probe set, and is required for ExACT software compatibility. 1
"transcript_cluster_id","probeset_id1","seqname1","strand1","start1","stop1","total_probes1","gene_assignment1","mrna_assignment1","swissprot1","unigene1","GO_biological_process1","GO_cellular_component1","GO_molecular_function1","pathway1","protein_domains1"
"2315554","2315554 1","chr1 1","+ 1","1135792 1","1175833 1","259 1","NM_153254 // TTLL10 // tubulin tyrosine ligase-like family, member 10 // 1p36.33 // 254173 /// AK124125 // TTLL10 // tubulin tyrosine ligase-like family, member 10 // 1p36.33 // 254173 1","NM_153254 // RefSeq // Homo sapiens tubulin tyrosine ligase-like family, member 10 (TTLL10), mRNA. // chr1 // 100 // 32 // 82 // 82 // 0 /// ENST00000309906 // ENSEMBL Transcript //  cdna:known-ccds chromosome:NCBI35:1:1155000:1161164:1 gene:ENSG00000162571 CCDS8.1 // chr1 // 100 // 32 // 82 // 82 // 0 /// ENST00000362250 // ENSEMBL Transcript //  cdna:pseudogene chromosome:NCBI35:1:1143166:1143255:1 gene:ENSG00000199120 // chr1 // 100 // 2 // 4 // 4 // 0 /// ENST00000362138 // ENSEMBL Transcript //  cdna:pseudogene chromosome:NCBI35:1:1142407:1142501:1 gene:ENSG00000199008 // chr1 // 100 // 2 // 4 // 4 // 0 /// ENST00000362106 // ENSEMBL Transcript //  cdna:pseudogene chromosome:NCBI35:1:1144308:1144390:1 gene:ENSG00000198976 // chr1 // 100 // 1 // 3 // 3 // 0 /// AK124125 // GenBank // Homo sapiens cDNA FLJ42131 fis, clone TESTI2016046, weakly  similar to Homo sapiens HOTTL protein mRNA. // chr1 // 100 // 53 // 137 // 137 // 0 /// ENSESTT00000091813 // ENSEMBL EST // --- // chr1 // 100 // 20 // 52 // 52 // 0 /// ENSESTT00000091814 // ENSEMBL EST // --- // chr1 // 100 // 19 // 50 // 50 // 0 /// ENSESTT00000091815 // ENSEMBL EST // --- // chr1 // 100 // 13 // 33 // 33 // 0 /// ENSESTT00000091816 // ENSEMBL EST // --- // chr1 // 100 // 11 // 28 // 28 // 0 /// ENSESTT00000091817 // ENSEMBL EST // --- // chr1 // 100 // 9 // 24 // 24 // 0 /// ENSESTT00000091818 // ENSEMBL EST // --- // chr1 // 100 // 6 // 16 // 16 // 0 /// GENSCAN00000036446 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1101528:1160832:1 // chr1 // 100 // 44 // 113 // 113 // 0 /// GENSCAN00000051124 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1167714:1173150:1 // chr1 // 100 // 14 // 35 // 35 // 0 /// GENSCAN00000051125 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1174121:1175833:1 // chr1 // 100 // 7 // 19 // 19 // 0 1","NM_153254 // Q8N9X2 /// AK124125 // Q6ZVT0 1","NM_153254 // Hs.454835 // brain ; mixed ; testis ; colon ; muscle ; other ; kidney ; hypopharynx ; lung  /// AK124125 // Hs.454835 // brain ; mixed ; testis ; colon ; muscle ; other ; kidney ; hypopharynx ; lung  1","NM_153254 // 6464 // protein modification // inferred from electronic annotation /// AK124125 // 6464 // protein modification // inferred from electronic annotation 1","--- 1","NM_153254 // 4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation /// AK124125 // 4835 // tubulin-tyrosine ligase activity // inferred from electronic annotation 1","--- 1","NM_153254 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// AK124125 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// GENSCAN00000036446 // Pfam // IPR004344 // Tubulin-tyrosine ligase /// GENSCAN00000051124 // Pfam // IPR004344 // Tubulin-tyrosine ligase 1"
"2315628","2315628 1","chr1 1","+ 1","1192254 1","1204230 1","16 1","--- 1","ENSESTT00000091819 // ENSEMBL EST // --- // chr1 // 100 // 50 // 8 // 8 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315633","2315633 1","chr1 1","+ 1","1205663 1","1210316 1","48 1","NM_080605 // B3GALT6 // UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6 // 1p36.33 // 126792 1","NM_080605 // RefSeq // Homo sapiens UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6 (B3GALT6), mRNA. // chr1 // 100 // 67 // 32 // 32 // 0 /// ENST00000326216 // ENSEMBL Transcript //  cdna:known-ccds chromosome:NCBI35:1:1207568:1210341:1 gene:ENSG00000176022 CCDS13.1 // chr1 // 100 // 67 // 32 // 32 // 0 /// AY050570 // GenBank // Homo sapiens beta-1,3-galactosyltransferase-6 (B3GALT6) mRNA, complete cds. // chr1 // 100 // 48 // 23 // 23 // 0 /// BC015549 // GenBank // Homo sapiens, clone IMAGE:3846772, mRNA, partial cds. // chr1 // 100 // 17 // 8 // 8 // 0 /// GENSCAN00000051129 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1206815:1208571:1 // chr1 // 100 // 42 // 20 // 20 // 0 1","NM_080605 // Q499Z2 /// AY050570 // Q96L58 /// BC015549 // Q96BI9 1","NM_080605 // Hs.284284 // brain ; mixed ; lung ; other ; colon ; kidney ; lymph node ; mammary gland ; pluripotent cell line derived from blastocyst inner cell mass ; embryonic stem ; T-Lymphocytes ; ovary ; placenta ; eye ; uterus ; heart ; prostate ; thymus ; skin ; B-cell, chronic lymphotic leukemia ; testis ; pancreas ; bladder ; bone marrow ; soft tissue ; peripheral nervous system ; bone ; liver ; spleen  1","NM_080605 // 6024 // glycosaminoglycan biosynthesis // inferred from mutant phenotype /// NM_080605 // 6486 // protein amino acid glycosylation // inferred from electronic annotation 1","NM_080605 // 5797 // Golgi medial cisterna // inferred from direct assay /// NM_080605 // 16020 // membrane // inferred from electronic annotation /// NM_080605 // 16021 // integral to membrane // inferred from electronic annotation 1","NM_080605 // 16757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// NM_080605 // 30145 // manganese ion binding // inferred from electronic annotation /// NM_080605 // 47220 // galactosylxylosylprotein 3-beta-galactosyltransferase activity // inferred from electronic annotation 1","--- 1","NM_080605 // Pfam // IPR002659 // Glycosyl transferase, family 31 /// AY050570 // Pfam // IPR002659 // Glycosyl transferase, family 31 /// GENSCAN00000051129 // Pfam // IPR002659 // Glycosyl transferase, family 31 1"
"2315656","2315656 1","chr1 1","+ 1","1229329 1","1229877 1","12 1","--- 1","AF116687 // GenBank // Homo sapiens PRO2121 mRNA, complete cds. // chr1 // 100 // 92 // 11 // 11 // 0 1","AF116687 // Q9P1E8 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315674","2315674 1","chr1 1","+ 1","1246581 1","1267309 1","225 1","NM_002978 // SCNN1D // sodium channel, nonvoltage-gated 1, delta // 1p36.3-p36.2 // 6339 /// AK131558 // SCNN1D // sodium channel, nonvoltage-gated 1, delta // 1p36.3-p36.2 // 6339 /// AK093372 // SCNN1D // sodium channel, nonvoltage-gated 1, delta // 1p36.3-p36.2 // 6339 /// AK093239 // SCNN1D // sodium channel, nonvoltage-gated 1, delta // 1p36.3-p36.2 // 6339 1","NM_002978 // RefSeq // Homo sapiens sodium channel, nonvoltage-gated 1, delta (SCNN1D), mRNA. // chr1 // 100 // 77 // 173 // 173 // 0 /// ENST00000338555 // ENSEMBL Transcript //  cdna:known-ccds chromosome:NCBI35:1:1255891:1267327:1 gene:ENSG00000162572 CCDS18.1 // chr1 // 100 // 96 // 215 // 215 // 0 /// ENST00000325425 // ENSEMBL Transcript //  cdna:known chromosome:NCBI35:1:1257412:1267327:1 gene:ENSG00000162572 // chr1 // 100 // 76 // 170 // 170 // 0 /// AK131558 // GenBank // Homo sapiens cDNA FLJ16802 fis, clone TESTI4005158, highly  similar to Amiloride-sensitive sodium channel delta-subunit. // chr1 // 100 // 97 // 219 // 219 // 0 /// AK093372 // GenBank // Homo sapiens cDNA FLJ36053 fis, clone TESTI2018276, highly similar to AMILORIDE-SENSITIVE SODIUM CHANNEL DELTA-SUBUNIT. // chr1 // 100 // 83 // 186 // 186 // 0 /// AK093239 // GenBank // Homo sapiens cDNA FLJ35920 fis, clone TESTI2010591, highly similar to AMILORIDE-SENSITIVE SODIUM CHANNEL DELTA-SUBUNIT. // chr1 // 100 // 76 // 170 // 170 // 0 /// BC071784 // GenBank // Homo sapiens cDNA clone MGC:88427 IMAGE:4609933, complete cds. // chr1 // 100 // 51 // 115 // 115 // 0 /// ENSESTT00000091821 // ENSEMBL EST // --- // chr1 // 100 // 82 // 185 // 184 // 0 /// ENSESTT00000091820 // ENSEMBL EST // --- // chr1 // 100 // 68 // 153 // 153 // 0 /// GENSCAN00000051132 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1246581:1267217:1 // chr1 // 100 // 85 // 191 // 191 // 0 1","NM_002978 // P51172 /// AK131558 // Q6ZMN3 /// AK093239 // P51172 /// BC071784 // Q6IPQ3 1","NM_002978 // Hs.512681 // Breast cancer ; Fetal Brain ; brain ; other ; testis ; pancreas ; mixed ; embryonic stem ; placenta ; ovary ; kidney ; skin ; lung ; B-cell, chronic lymphotic leukemia ; stomach ; mammary gland ; spleen ; heart ; bone  /// AK131558 // Hs.512681 // Breast cancer ; Fetal Brain ; brain ; other ; testis ; pancreas ; mixed ; embryonic stem ; placenta ; ovary ; kidney ; skin ; lung ; B-cell, chronic lymphotic leukemia ; stomach ; mammary gland ; spleen ; heart ; bone  /// AK093372 // Hs.512681 // Breast cancer ; Fetal Brain ; brain ; other ; testis ; pancreas ; mixed ; embryonic stem ; placenta ; ovary ; kidney ; skin ; lung ; B-cell, chronic lymphotic leukemia ; stomach ; mammary gland ; spleen ; heart ; bone  /// AK093239 // Hs.512681 // Breast cancer ; Fetal Brain ; brain ; other ; testis ; pancreas ; mixed ; embryonic stem ; placenta ; ovary ; kidney ; skin ; lung ; B-cell, chronic lymphotic leukemia ; stomach ; mammary gland ; spleen ; heart ; bone  1","NM_002978 // 6811 // ion transport // inferred from electronic annotation /// NM_002978 // 6814 // sodium ion transport // traceable author statement /// NM_002978 // 7600 // sensory perception // inferred from electronic annotation /// AK131558 // 6811 // ion transport // inferred from electronic annotation /// AK131558 // 6814 // sodium ion transport // traceable author statement /// AK131558 // 7600 // sensory perception // inferred from electronic annotation /// AK093372 // 6811 // ion transport // inferred from electronic annotation /// AK093372 // 6814 // sodium ion transport // traceable author statement /// AK093372 // 7600 // sensory perception // inferred from electronic annotation /// AK093239 // 6811 // ion transport // inferred from electronic annotation /// AK093239 // 6814 // sodium ion transport // traceable author statement /// AK093239 // 7600 // sensory perception // inferred from electronic annotation 1","NM_002978 // 5624 // membrane fraction // not recorded /// NM_002978 // 5887 // integral to plasma membrane // not recorded /// NM_002978 // 16020 // membrane // inferred from electronic annotation /// AK131558 // 5624 // membrane fraction // not recorded /// AK131558 // 5887 // integral to plasma membrane // not recorded /// AK131558 // 16020 // membrane // inferred from electronic annotation /// AK093372 // 5624 // membrane fraction // not recorded /// AK093372 // 5887 // integral to plasma membrane // not recorded /// AK093372 // 16020 // membrane // inferred from electronic annotation /// AK093239 // 5624 // membrane fraction // not recorded /// AK093239 // 5887 // integral to plasma membrane // not recorded /// AK093239 // 16020 // membrane // inferred from electronic annotation 1","NM_002978 // 5216 // ion channel activity // inferred from electronic annotation /// NM_002978 // 15280 // amiloride-sensitive sodium channel activity // traceable author statement /// NM_002978 // 31402 // sodium ion binding // inferred from electronic annotation /// AK131558 // 5216 // ion channel activity // inferred from electronic annotation /// AK131558 // 15280 // amiloride-sensitive sodium channel activity // traceable author statement /// AK131558 // 31402 // sodium ion binding // inferred from electronic annotation /// AK093372 // 5216 // ion channel activity // inferred from electronic annotation /// AK093372 // 15280 // amiloride-sensitive sodium channel activity // traceable author statement /// AK093372 // 31402 // sodium ion binding // inferred from electronic annotation /// AK093239 // 5216 // ion channel activity // inferred from electronic annotation /// AK093239 // 15280 // amiloride-sensitive sodium channel activity // traceable author statement /// AK093239 // 31402 // sodium ion binding // inferred from electronic annotation 1","--- 1","NM_002978 // Pfam // IPR001873 // Na+ channel, amiloride-sensitive /// ENST00000325425 // Pfam // IPR001873 // Na+ channel, amiloride-sensitive /// AK131558 // Pfam // IPR001873 // Na+ channel, amiloride-sensitive /// AK093239 // Pfam // IPR001873 // Na+ channel, amiloride-sensitive /// BC071784 // Pfam // IPR001873 // Na+ channel, amiloride-sensitive /// GENSCAN00000051132 // Pfam // IPR001873 // Na+ channel, amiloride-sensitive 1"
"2315739","2315739 1","chr1 1","+ 1","1283910 1","1287091 1","77 1","NM_153339 // PUSL1 // pseudouridylate synthase-like 1 // 1p36.33 // 126789 /// AK027721 // PUSL1 // pseudouridylate synthase-like 1 // 1p36.33 // 126789 1","NM_153339 // RefSeq // Homo sapiens pseudouridylate synthase-like 1 (PUSL1), mRNA. // chr1 // 100 // 92 // 72 // 71 // 0 /// ENST00000304185 // ENSEMBL Transcript //  cdna:known-ccds chromosome:NCBI35:1:1283900:1286979:1 gene:ENSG00000169972 CCDS20.1 // chr1 // 100 // 82 // 64 // 63 // 0 /// AK027721 // GenBank // Homo sapiens cDNA FLJ14815 fis, clone OVARC1000017. // chr1 // 100 // 69 // 53 // 53 // 0 /// ENSESTT00000091822 // ENSEMBL EST // --- // chr1 // 100 // 65 // 51 // 50 // 0 /// ENSESTT00000091825 // ENSEMBL EST // --- // chr1 // 100 // 61 // 48 // 47 // 0 /// ENSESTT00000091824 // ENSEMBL EST // --- // chr1 // 100 // 56 // 44 // 43 // 0 /// ENSESTT00000091823 // ENSEMBL EST // --- // chr1 // 100 // 45 // 35 // 35 // 0 /// ENSESTT00000091826 // ENSEMBL EST // --- // chr1 // 100 // 43 // 33 // 33 // 0 /// GENSCAN00000000492 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1283947:1286682:1 // chr1 // 100 // 81 // 63 // 62 // 0 1","NM_153339 // Q8N0Z8 1","NM_153339 // Hs.400659 // skin ; heart ; eye ; placenta ; other ; colon ; muscle ; lung ; embryonic stem cells, DMSO-treated H9 cell line ; mixed ; stomach ; liver ; ovary ; cervix ; human embryonic stem cells ; kidney ; testis ; prostate ; mammary gland ; brain ; pancreas ; uterus ; caudate nucleus ; lymph node ; bone  /// AK027721 // Hs.400659 // skin ; heart ; eye ; placenta ; other ; colon ; muscle ; lung ; embryonic stem cells, DMSO-treated H9 cell line ; mixed ; stomach ; liver ; ovary ; cervix ; human embryonic stem cells ; kidney ; testis ; prostate ; mammary gland ; brain ; pancreas ; uterus ; caudate nucleus ; lymph node ; bone  1","NM_153339 // 8033 // tRNA processing // inferred from electronic annotation /// AK027721 // 8033 // tRNA processing // inferred from electronic annotation 1","--- 1","NM_153339 // 4730 // pseudouridylate synthase activity // inferred from electronic annotation /// NM_153339 // 16853 // isomerase activity // inferred from electronic annotation /// AK027721 // 4730 // pseudouridylate synthase activity // inferred from electronic annotation /// AK027721 // 16853 // isomerase activity // inferred from electronic annotation 1","--- 1","NM_153339 // Pfam // IPR001406 // tRNA pseudouridine synthase /// GENSCAN00000000492 // Pfam // IPR001406 // tRNA pseudouridine synthase 1"
"2315773","2315773 1","chr1 1","+ 1","1300080 1","1304180 1","46 1","NM_001029885 // MGC10334 // hypothetical protein MGC10334 // 1p36.33 // 80772 /// BC072454 // MGC10334 // hypothetical protein MGC10334 // 1p36.33 // 80772 1","NM_001029885 // RefSeq // Homo sapiens hypothetical protein MGC10334 (MGC10334), mRNA. // chr1 // 100 // 87 // 40 // 40 // 0 /// XM_496453 // RefSeq // PREDICTED: Homo sapiens similar to BC002216 protein (LOC440743), mRNA. // chr1 // 100 // 15 // 7 // 7 // 0 /// ENST00000343938 // ENSEMBL Transcript //  cdna:known chromosome:NCBI35:1:1302214:1303066:1 gene:ENSG00000187488 // chr1 // 100 // 41 // 19 // 19 // 0 /// ENST00000343190 // ENSEMBL Transcript //  cdna:known chromosome:NCBI35:1_NT_079486:24885:25735:-1 gene:ENSG00000187962 // chr1 // 100 // 22 // 10 // 10 // 0 /// ENST00000360706 // ENSEMBL Transcript //  cdna:known chromosome:NCBI35:1_NT_079486:23792:24457:-1 gene:ENSG00000198072 // chr1 // 100 // 4 // 2 // 2 // 0 /// BC072454 // GenBank // Homo sapiens hypothetical protein MGC10334, mRNA (cDNA clone IMAGE:6185216), partial cds. // chr1 // 100 // 59 // 27 // 27 // 0 /// ENSESTT00000091828 // ENSEMBL EST // --- // chr1 // 100 // 87 // 40 // 40 // 0 /// ENSESTT00000091829 // ENSEMBL EST // --- // chr1 // 100 // 76 // 35 // 35 // 0 /// ENSESTT00000091827 // ENSEMBL EST // --- // chr1 // 100 // 30 // 14 // 14 // 0 /// GENSCAN00000000497 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1302214:1303066:1 // chr1 // 100 // 41 // 19 // 19 // 0 /// GENSCAN00000001816 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1_NT_079486:24885:25735:-1 // chr1 // 100 // 17 // 8 // 8 // 0 1","NM_001029885 // Q9UFH6 /// NM_001029885 // Q7L5A4 /// NM_001029885 // Q4G0E6 /// XM_496453 // Q9UFH6 /// XM_496453 // Q7L5A4 /// XM_496453 // Q4G0E6 1","NM_001029885 // Hs.515689 // soft tissue ; pancreas ; brain ; ovary ; uterus ; prostate ; lung ; skin ; peripheral nervous system ; mammary gland ; cervix ; embryonic stem cells, DMSO-treated H9 cell line ; embryonic stem cell, retinoic acid and mitogen-treated hES cell line H7 ; liver ; placenta ; testis ; mixed ; colon ; THYMUS ; other ; spleen ; eye ; bone ; stomach ; kidney ; muscle  /// BC072454 // Hs.515689 // soft tissue ; pancreas ; brain ; ovary ; uterus ; prostate ; lung ; skin ; peripheral nervous system ; mammary gland ; cervix ; embryonic stem cells, DMSO-treated H9 cell line ; embryonic stem cell, retinoic acid and mitogen-treated hES cell line H7 ; liver ; placenta ; testis ; mixed ; colon ; THYMUS ; other ; spleen ; eye ; bone ; stomach ; kidney ; muscle  1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315786","2315786 1","chr1 1","+ 1","1306632 1","1310614 1","71 1","XM_371210 // TAS1R3 // taste receptor, type 1, member 3 // 1p36.33 // 83756 /// AK122959 // TAS1R3 // taste receptor, type 1, member 3 // 1p36.33 // 83756 1","XM_371210 // RefSeq // PREDICTED: Homo sapiens taste receptor, type 1, member 3 (TAS1R3), mRNA. // chr1 // 100 // 85 // 60 // 60 // 0 /// ENST00000339381 // ENSEMBL Transcript //  cdna:novel chromosome:NCBI35:1_NT_079486:71768:75618:1 gene:ENSG00000187476 // chr1 // 100 // 100 // 95 // 71 // 0 /// ENST00000304040 // ENSEMBL Transcript //  cdna:known chromosome:NCBI35:1:1306649:1310504:1 gene:ENSG00000169962 // chr1 // 100 // 100 // 85 // 71 // 0 /// AK122959 // GenBank // Homo sapiens cDNA FLJ16679 fis, clone TLIVE2003381, moderately similar to Mus musculus taste receptor, type 1, member 3 (Tas1r3). // chr1 // 98 // 72 // 50 // 51 // 0 /// GENSCAN00000000498 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1:1306649:1309767:1 // chr1 // 100 // 100 // 82 // 71 // 0 /// GENSCAN00000001819 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1_NT_079486:71768:74882:1 // chr1 // 100 // 93 // 66 // 66 // 0 1","--- 1","XM_371210 // Hs.307407 // mixed ; eye ; other  /// AK122959 // Hs.307407 // mixed ; eye ; other  1","XM_371210 // 7165 // signal transduction // inferred from electronic annotation /// XM_371210 // 7186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// XM_371210 // 7600 // sensory perception // inferred from electronic annotation /// XM_371210 // 50916 // sensory perception of sweet taste // inferred from direct assay /// XM_371210 // 50917 // sensory perception of umami taste // inferred from direct assay /// AK122959 // 7165 // signal transduction // inferred from electronic annotation /// AK122959 // 7186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// AK122959 // 7600 // sensory perception // inferred from electronic annotation /// AK122959 // 50916 // sensory perception of sweet taste // inferred from direct assay /// AK122959 // 50917 // sensory perception of umami taste // inferred from direct assay 1","XM_371210 // 16020 // membrane // inferred from electronic annotation /// XM_371210 // 16021 // integral to membrane // --- /// AK122959 // 16020 // membrane // inferred from electronic annotation /// AK122959 // 16021 // integral to membrane // --- 1","XM_371210 // 4872 // receptor activity // inferred from electronic annotation /// XM_371210 // 8067 // metabotropic glutamate, GABA-B-like receptor activity // inferred from electronic annotation /// XM_371210 // 8527 // taste receptor activity // inferred from direct assay /// XM_371210 // 46982 // protein heterodimerization activity // non-traceable author statement /// AK122959 // 4872 // receptor activity // inferred from electronic annotation /// AK122959 // 8067 // metabotropic glutamate, GABA-B-like receptor activity // inferred from electronic annotation /// AK122959 // 8527 // taste receptor activity // inferred from direct assay /// AK122959 // 46982 // protein heterodimerization activity // non-traceable author statement 1","--- 1","XM_371210 // Pfam // IPR000337 // G-protein coupled receptor family 3, metabotropic glutamate receptor-like /// XM_371210 // Pfam // IPR001828 // Extracellular ligand-binding receptor /// ENST00000339381 // Pfam // IPR000337 // G-protein coupled receptor family 3, metabotropic glutamate receptor-like /// ENST00000339381 // Pfam // IPR001828 // Extracellular ligand-binding receptor /// ENST00000304040 // Pfam // IPR000337 // G-protein coupled receptor family 3, metabotropic glutamate receptor-like /// ENST00000304040 // Pfam // IPR001828 // Extracellular ligand-binding receptor /// GENSCAN00000000498 // Pfam // IPR000337 // G-protein coupled receptor family 3, metabotropic glutamate receptor-like /// GENSCAN00000000498 // Pfam // IPR001828 // Extracellular ligand-binding receptor /// GENSCAN00000001819 // Pfam // IPR000337 // G-protein coupled receptor family 3, metabotropic glutamate receptor-like /// GENSCAN00000001819 // Pfam // IPR001828 // Extracellular ligand-binding receptor 1"
"2315831","2315831 1","chr1 1","+ 1","1349084 1","1350932 1","36 1","--- 1","GENSCAN00000001827 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1_NT_079486:176994:189961:-1 // chr1 // 100 // 78 // 28 // 28 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315843","2315843 1","chr1 1","+ 1","1351812 1","1351940 1","4 1","--- 1","GENSCAN00000001827 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1_NT_079486:176994:189961:-1 // chr1 // 100 // 100 // 4 // 4 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315851","2315851 1","chr1 1","+ 1","1356084 1","1356160 1","4 1","--- 1","GENSCAN00000001827 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1_NT_079486:176994:189961:-1 // chr1 // 100 // 100 // 4 // 4 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315855","2315855 1","chr1 1","+ 1","1356404 1","1356694 1","8 1","--- 1","GENSCAN00000001827 // ENSEMBL Prediction //  cdna:Genscan chromosome:NCBI35:1_NT_079486:176994:189961:-1 // chr1 // 100 // 50 // 4 // 4 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315862","2315862 1","chr1 1","+ 1","1420193 1","1423462 1","28 1","XM_378823 // LOC148413 // hypothetical protein LOC148413 // 1p36.33 // 148413 /// XM_378949 // LOC440746 // similar to hypothetical protein LOC148413 // 1p36.33 // 440746 /// AK092572 // LOC148413 // hypothetical protein LOC148413 // 1p36.33 // 148413 1","XM_378823 // RefSeq // PREDICTED: Homo sapiens hypothetical protein LOC148413 (LOC148413), mRNA. // chr1 // 100 // 75 // 21 // 21 // 0 /// XM_378949 // RefSeq // PREDICTED: Homo sapiens similar to hypothetical protein LOC148413 (LOC440746), mRNA. // chr1 // 100 // 75 // 21 // 21 // 0 /// AK092572 // GenBank // Homo sapiens cDNA FLJ35253 fis, clone PROST2003725. // chr1 // 96 // 86 // 23 // 24 // 0 /// CR595843 // GenBank // full-length cDNA clone CS0DC026YC04 of Neuroblastoma Cot 25-normalized of Homo sapiens (human). // chr1 // 100 // 75 // 21 // 21 // 0 /// ENSESTT00000091830 // ENSEMBL EST // --- // chr1 // 100 // 75 // 21 // 21 // 0 1","--- 1","XM_378823 // Hs.529943 // other ; brain ; lung ; placenta ; blood ; T-Lymphocytes ; eye ; mixed ; kidney ; ovary ; pancreas ; cervix ; thymus ; uterus ; liver ; colon ; leukocyte ; heart ; stomach ; bone ; lymph node ; pluripotent cell line derived from blastocyst inner cell mass ; prostate ; vascular ; testis  /// XM_378949 // Hs.515698 // brain ; other ; mixed ; pancreas ; stomach ; embryonic stem cell, retinoic acid and mitogen-treated hES cell line H7 ; heart ; Whole brain ; testis ; ovary  /// AK092572 // Hs.529943 // other ; brain ; lung ; placenta ; blood ; T-Lymphocytes ; eye ; mixed ; kidney ; ovary ; pancreas ; cervix ; thymus ; uterus ; liver ; colon ; leukocyte ; heart ; stomach ; bone ; lymph node ; pluripotent cell line derived from blastocyst inner cell mass ; prostate ; vascular ; testis  1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315870","2315870 1","chr1 1","+ 1","1424158 1","1424500 1","4 1","XM_378949 // LOC440746 // similar to hypothetical protein LOC148413 // 1p36.33 // 440746 /// XM_378823 // LOC148413 // hypothetical protein LOC148413 // 1p36.33 // 148413 1","XM_378949 // RefSeq // PREDICTED: Homo sapiens similar to hypothetical protein LOC148413 (LOC440746), mRNA. // chr1 // 100 // 75 // 3 // 3 // 0 /// XM_378823 // RefSeq // PREDICTED: Homo sapiens hypothetical protein LOC148413 (LOC148413), mRNA. // chr1 // 100 // 75 // 3 // 3 // 0 /// CR595843 // GenBank // full-length cDNA clone CS0DC026YC04 of Neuroblastoma Cot 25-normalized of Homo sapiens (human). // chr1 // 100 // 75 // 3 // 3 // 0 /// ENSESTT00000091830 // ENSEMBL EST // --- // chr1 // 100 // 75 // 3 // 3 // 0 1","--- 1","XM_378949 // Hs.515698 // brain ; other ; mixed ; pancreas ; stomach ; embryonic stem cell, retinoic acid and mitogen-treated hES cell line H7 ; heart ; Whole brain ; testis ; ovary  /// XM_378823 // Hs.529943 // other ; brain ; lung ; placenta ; blood ; T-Lymphocytes ; eye ; mixed ; kidney ; ovary ; pancreas ; cervix ; thymus ; uterus ; liver ; colon ; leukocyte ; heart ; stomach ; bone ; lymph node ; pluripotent cell line derived from blastocyst inner cell mass ; prostate ; vascular ; testis  1","--- 1","--- 1","--- 1","--- 1","--- 1"
"2315877","2315877 1","chr1 1","+ 1","1440912 1","1443934 1","8 1","--- 1","ENSESTT00000091831 // ENSEMBL EST // --- // chr1 // 100 // 75 // 6 // 6 // 0 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1","--- 1"
